ts_event,rate
08/30/2024,0.03908
08/29/2024,0.03865
08/28/2024,0.03840
08/27/2024,0.03831
08/26/2024,0.03818
08/23/2024,0.03804
08/22/2024,0.03857
08/21/2024,0.03805
08/20/2024,0.03810
08/19/2024,0.03876
08/16/2024,0.03885
08/15/2024,0.03915
08/14/2024,0.03840
08/13/2024,0.03846
08/12/2024,0.03908
08/09/2024,0.03946
08/08/2024,0.03997
08/07/2024,0.03954
08/06/2024,0.03897
08/05/2024,0.03798
08/02/2024,0.03793
08/01/2024,0.03982
07/31/2024,0.04035
07/30/2024,0.04139
07/29/2024,0.04179
07/26/2024,0.04200
07/25/2024,0.04247
07/24/2024,0.04293
07/23/2024,0.04255
07/22/2024,0.04256
07/19/2024,0.04242
07/18/2024,0.04205
07/17/2024,0.04161
07/16/2024,0.04163
07/15/2024,0.04237
07/12/2024,0.04187
07/11/2024,0.04217
07/10/2024,0.04290
07/09/2024,0.04301
07/08/2024,0.04284
07/05/2024,0.04286
07/03/2024,0.04364
07/02/2024,0.04437
07/01/2024,0.04467
06/28/2024,0.04402
06/27/2024,0.04291
06/26/2024,0.04334
06/25/2024,0.04252
06/24/2024,0.04237
06/21/2024,0.04257
06/20/2024,0.04264
06/18/2024,0.04227
06/17/2024,0.04286
06/14/2024,0.04228
06/13/2024,0.04249
06/12/2024,0.04323
06/11/2024,0.04405
06/10/2024,0.04466
06/07/2024,0.04439
06/06/2024,0.04292
06/05/2024,0.04280
06/04/2024,0.04331
06/03/2024,0.04395
05/31/2024,0.04502
05/30/2024,0.04556
05/29/2024,0.04619
05/28/2024,0.04557
05/26/2024,0.04470
05/24/2024,0.04470
05/23/2024,0.04480
05/22/2024,0.04428
05/21/2024,0.04421
05/20/2024,0.04450
05/17/2024,0.04426
05/16/2024,0.04381
05/15/2024,0.04344
05/14/2024,0.04442
05/13/2024,0.04493
05/10/2024,0.04502
05/09/2024,0.04460
05/08/2024,0.04501
05/07/2024,0.04462
05/06/2024,0.04490
05/03/2024,0.04518
05/02/2024,0.04584
05/01/2024,0.04639
04/30/2024,0.04687
04/29/2024,0.04618
04/26/2024,0.04669
04/25/2024,0.04708
04/24/2024,0.04646
04/23/2024,0.04606
04/22/2024,0.04614
04/19/2024,0.04626
04/18/2024,0.04631
04/17/2024,0.04593
04/16/2024,0.04673
04/15/2024,0.04608
04/12/2024,0.04532
04/11/2024,0.04595
04/10/2024,0.04551
04/09/2024,0.04369
04/08/2024,0.04430
04/05/2024,0.04406
04/04/2024,0.04317
04/03/2024,0.04355
04/02/2024,0.04361
04/01/2024,0.04320
03/28/2024,0.04205
03/27/2024,0.04194
03/26/2024,0.04238
03/25/2024,0.04246
03/22/2024,0.04202
03/21/2024,0.04264
03/20/2024,0.04276
03/19/2024,0.04298
03/18/2024,0.04334
03/15/2024,0.04318
03/14/2024,0.04300
03/13/2024,0.04194
03/12/2024,0.04160
03/11/2024,0.04102
03/08/2024,0.04080
03/07/2024,0.04087
03/06/2024,0.04101
03/05/2024,0.04155
03/04/2024,0.04216
03/01/2024,0.04185
02/29/2024,0.04257
02/28/2024,0.04266
02/27/2024,0.04301
02/26/2024,0.04283
02/23/2024,0.04251
02/22/2024,0.04326
02/21/2024,0.04321
02/20/2024,0.04280
02/16/2024,0.04284
02/15/2024,0.04227
02/14/2024,0.04253
02/13/2024,0.04317
02/12/2024,0.04186
02/09/2024,0.04168
02/08/2024,0.04157
02/07/2024,0.04123
02/06/2024,0.04103
02/05/2024,0.04162
02/02/2024,0.04023
02/01/2024,0.03878
01/31/2024,0.03919
01/30/2024,0.04034
01/29/2024,0.04079
01/26/2024,0.04143
01/25/2024,0.04121
01/24/2024,0.04181
01/23/2024,0.04138
01/22/2024,0.04106
01/19/2024,0.04131
01/18/2024,0.04146
01/17/2024,0.04109
01/16/2024,0.04067
01/12/2024,0.03944
01/11/2024,0.03972
01/10/2024,0.04034
01/09/2024,0.04015
01/08/2024,0.04031
01/05/2024,0.04046
01/04/2024,0.03999
01/03/2024,0.03920
01/02/2024,0.03936
12/29/2023,0.03881
12/28/2023,0.03842
12/27/2023,0.03797
12/26/2023,0.03900
12/22/2023,0.03897
12/21/2023,0.03887
12/20/2023,0.03848
12/19/2023,0.03932
12/18/2023,0.03939
12/15/2023,0.03914
12/14/2023,0.03922
12/13/2023,0.04025
12/12/2023,0.04204
12/11/2023,0.04236
12/08/2023,0.04230
12/07/2023,0.04156
12/06/2023,0.04109
12/05/2023,0.04175
12/04/2023,0.04259
12/01/2023,0.04200
11/30/2023,0.04333
11/29/2023,0.04265
11/28/2023,0.04325
11/27/2023,0.04391
11/24/2023,0.04471
11/22/2023,0.04412
11/21/2023,0.04394
11/20/2023,0.04422
11/17/2023,0.04440
11/16/2023,0.04437
11/15/2023,0.04528
11/14/2023,0.04445
11/13/2023,0.04636
11/09/2023,0.04622
11/08/2023,0.04497
11/07/2023,0.04568
11/06/2023,0.04649
11/03/2023,0.04519
11/02/2023,0.04663
11/01/2023,0.04734
10/31/2023,0.04934
10/30/2023,0.04895
10/27/2023,0.04841
10/26/2023,0.04849
10/25/2023,0.04961
10/24/2023,0.04826
10/23/2023,0.04849
10/20/2023,0.04928
10/19/2023,0.04990
10/18/2023,0.04902
10/17/2023,0.04834
10/16/2023,0.04712
10/13/2023,0.04627
10/12/2023,0.04702
10/11/2023,0.04564
10/10/2023,0.04664
10/06/2023,0.04804
10/05/2023,0.04708
10/04/2023,0.04736
10/03/2023,0.04804
10/02/2023,0.04687
09/29/2023,0.04579
09/28/2023,0.04578
09/27/2023,0.04616
09/26/2023,0.04540
09/25/2023,0.04537
09/22/2023,0.04440
09/21/2023,0.04494
09/20/2023,0.04414
09/19/2023,0.04364
09/18/2023,0.04309
09/15/2023,0.04331
09/14/2023,0.04296
09/13/2023,0.04259
09/12/2023,0.04286
09/11/2023,0.04290
09/08/2023,0.04271
09/07/2023,0.04248
09/06/2023,0.04284
09/05/2023,0.04259
09/01/2023,0.04186
08/31/2023,0.04111
08/30/2023,0.04113
08/29/2023,0.04125
08/28/2023,0.04204
08/25/2023,0.04234
08/24/2023,0.04241
08/23/2023,0.04194
08/22/2023,0.04329
08/21/2023,0.04336
08/18/2023,0.04253
08/17/2023,0.04284
08/16/2023,0.04256
08/15/2023,0.04218
08/14/2023,0.04195
08/11/2023,0.04154
08/10/2023,0.04110
08/09/2023,0.04014
08/08/2023,0.04033
08/07/2023,0.04092
08/04/2023,0.04046
08/03/2023,0.04179
08/02/2023,0.04088
08/01/2023,0.04032
07/31/2023,0.03959
07/28/2023,0.03954
07/27/2023,0.04004
07/26/2023,0.03865
07/25/2023,0.03891
07/24/2023,0.03871
07/21/2023,0.03841
07/20/2023,0.03853
07/19/2023,0.03754
07/18/2023,0.03790
07/17/2023,0.03812
07/14/2023,0.03832
07/13/2023,0.03768
07/12/2023,0.03862
07/11/2023,0.03974
07/10/2023,0.04000
07/07/2023,0.04068
07/06/2023,0.04038
07/05/2023,0.03938
07/03/2023,0.03858
06/30/2023,0.03844
06/29/2023,0.03846
06/28/2023,0.03712
06/27/2023,0.03767
06/26/2023,0.03724
06/23/2023,0.03742
06/22/2023,0.03797
06/21/2023,0.03725
06/20/2023,0.03723
06/16/2023,0.03769
06/15/2023,0.03723
06/14/2023,0.03792
06/13/2023,0.03828
06/12/2023,0.03740
06/09/2023,0.03742
06/08/2023,0.03720
06/07/2023,0.03797
06/06/2023,0.03675
06/05/2023,0.03688
06/02/2023,0.03699
06/01/2023,0.03600
05/31/2023,0.03647
05/30/2023,0.03692
05/26/2023,0.03806
05/25/2023,0.03822
05/24/2023,0.03750
05/23/2023,0.03701
05/22/2023,0.03715
05/19/2023,0.03683
05/18/2023,0.03651
05/17/2023,0.03569
05/16/2023,0.03542
05/15/2023,0.03507
05/12/2023,0.03468
05/11/2023,0.03389
05/10/2023,0.03445
05/09/2023,0.03521
05/08/2023,0.03513
05/05/2023,0.03440
05/04/2023,0.03385
05/03/2023,0.03343
05/02/2023,0.03429
05/01/2023,0.03572
04/28/2023,0.03422
04/27/2023,0.03525
04/26/2023,0.03450
04/25/2023,0.03402
04/24/2023,0.03496
04/21/2023,0.03577
04/20/2023,0.03538
04/19/2023,0.03594
04/18/2023,0.03578
04/17/2023,0.03606
04/14/2023,0.03520
04/13/2023,0.03446
04/12/2023,0.03401
04/11/2023,0.03428
04/10/2023,0.03417
04/07/2023,0.03405
04/06/2023,0.03307
04/05/2023,0.03313
04/04/2023,0.03342
04/03/2023,0.03418
03/31/2023,0.03471
03/30/2023,0.03553
03/29/2023,0.03573
03/28/2023,0.03567
03/27/2023,0.03537
03/24/2023,0.03376
03/23/2023,0.03422
03/22/2023,0.03444
03/21/2023,0.03609
03/20/2023,0.03486
03/17/2023,0.03430
03/16/2023,0.03584
03/15/2023,0.03466
03/14/2023,0.03690
03/13/2023,0.03577
03/10/2023,0.03705
03/09/2023,0.03911
03/08/2023,0.03992
03/07/2023,0.03970
03/06/2023,0.03965
03/03/2023,0.03960
03/02/2023,0.04062
03/01/2023,0.03995
02/28/2023,0.03924
02/27/2023,0.03918
02/24/2023,0.03953
02/23/2023,0.03883
02/22/2023,0.03925
02/21/2023,0.03956
02/20/2023,0.03822
02/17/2023,0.03822
02/16/2023,0.03862
02/15/2023,0.03807
02/14/2023,0.03753
02/13/2023,0.03705
02/10/2023,0.03738
02/09/2023,0.03663
02/08/2023,0.03621
02/07/2023,0.03677
02/06/2023,0.03645
02/03/2023,0.03524
02/02/2023,0.03398
02/01/2023,0.03424
01/31/2023,0.03512
01/30/2023,0.03538
01/27/2023,0.03512
01/26/2023,0.03497
01/25/2023,0.03448
01/24/2023,0.03460
01/23/2023,0.03521
01/20/2023,0.03480
01/19/2023,0.03400
01/18/2023,0.03373
01/17/2023,0.03549
01/13/2023,0.03505
01/12/2023,0.03446
01/11/2023,0.03541
01/10/2023,0.03621
01/09/2023,0.03539
01/06/2023,0.03563
01/05/2023,0.03719
01/04/2023,0.03687
01/03/2023,0.03746
12/30/2022,0.03880
12/29/2022,0.03820
12/28/2022,0.03884
12/27/2022,0.03847
12/23/2022,0.03749
12/22/2022,0.03682
12/21/2022,0.03673
12/20/2022,0.03690
12/19/2022,0.03586
12/16/2022,0.03489
12/15/2022,0.03448
12/14/2022,0.03479
12/13/2022,0.03508
12/12/2022,0.03614
12/09/2022,0.03584
12/08/2022,0.03487
12/07/2022,0.03425
12/06/2022,0.03533
12/05/2022,0.03585
12/02/2022,0.03494
12/01/2022,0.03511
11/30/2022,0.03606
11/29/2022,0.03749
11/28/2022,0.03685
11/25/2022,0.03688
11/23/2022,0.03700
11/22/2022,0.03758
11/21/2022,0.03833
11/18/2022,0.03827
11/17/2022,0.03771
11/16/2022,0.03693
11/15/2022,0.03777
11/14/2022,0.03858
